3Ltr,Company,Country,Telephony,FriendlyName
AIK,AFRICAN AIRLINES INTERNATIONAL LIMITED,KENYA,AFRICAN AIRLINES,African Airlines International Limited
AIM,TRABAJOS AEREOS MURCIANOS S.L.,SPAIN,PIJO,Trabajos Aereos Murcianos
AIN,AFRICAN INTERNATIONAL AIRWAYS (PTY) LTD,SOUTH AFRICA,FLY CARGO,African International Airways
AIO,"CHIEF OF STAFF, UNITED STATES AIR FORCE (ANDREWS AFB, MD)",UNITED STATES,AIR CHIEF,"Chief of Staff, United States Air Force"
AIP,"ALPINE AVIATION, INC. (PROVO, UT)",UNITED STATES,ALPINE AIR,Alpine Aviation
AIQ,"THAI AIR ASIA CO., LTD",THAILAND,THAI ASIA,Thai AirAsia
AIS,AIR SURESTE,SPAIN,SURESTE,Air Sureste
AIT,AIR TAURUS LLC,UKRAINE,AIR TAURUS,Air Taurus
AIU,AIR SEGURA S.L.,SPAIN,,Air Segura
AIW,AEROHELI INTERNATIONAL GMBH & CO KG,GERMANY,AIRWOLF,Aeroheli International
AIX,AIR ANDREW LTD.,CANADA,ANDREW,Air Andrew
AIZ,ARKIA ISRAEL INLAND AIRLINES,ISRAEL,ARKIA,Arkia Israel Airlines
AJA,AFGHAN JET INTERNATIONAL AIRLINES,AFGHANISTAN,AFGHAN JET,Afghan Jet International Airlines
AJB,AMERICAN JET S.A.,ARGENTINA,AMJET,American Jet
AJC,"BAR HARBOR AIRLINES (BANGOR, ME)",UNITED STATES,BAR HARBOR,Bar Harbor Airlines
AJD,ASTONJET LIMITED,MALTA,CATCH ME,Aerojet Limited
AJE,"AERO JET EXPRESS, S.A. DE C.V.",MEXICO,JET EXPRES,Aero Jet Express
AJG,ATLANTIC JETS,VENEZUELA,ATLANTIC JETS,Atlantic Jets
AJH,AEROALJARAFE S.L.,SPAIN,ALJARAFE,Aeroaljarafe
AJI,"AMERISTAR JET CHARTER, INC. (DALLAS, TX)",UNITED STATES,AMERISTAR,Ameristar
AJJ,AVCON JET AFRICA (PTY) LTD.,SOUTH AFRICA,AVJET,Avcon Jet Africa
AJK,ALLIED AIR LIMITED,NIGERIA,BAMBI,Allied Air
AJM,AIR JAMAICA,JAMAICA,JAMAICA,Air Jamaica
AJN,"AUTOMOTRIZ BAJA NORTE, S.A. DE C.V.",MEXICO,BAJANTE,Automotriz Baja Norte
AJO,AV8JET CHARTER,MALTA,AVIATE JET,Av8Jet
AJP,ANAP BUSINESS JETS LIMITED,NIGERIA,ANAPJETS,Anap Jets
AJQ,"AEROTECNICA JET SERVICES, INC.",PANAMA,PANAJET,Aerotecnica Jet Services
AJR,A-JET AVIATION CO. LTD,MONGOLIA,JET MONGOLIA,A-Jet Aviation
AJS,"AEROEJECUTIVOS, AEROSERVICIOS EJECUTIVOS",COLOMBIA,AEROEJECUTIVOS,Aeroejecutivos Colombia
AJT,"AMERIJET INTERNATIONAL (FT.LAUDERDALE, FL)",UNITED STATES,AMERIJET,Amerijet International
AJU,AIR JETSUL,PORTUGAL,AIRJETSUL,Air Jetsul
AJV,"ADVANCE AVIATION JET CO., LTD",THAILAND,LEE JET,Advance Aviation Jet
AJW,"ALPHA JET INTERNATIONAL (SHEFFIELD, AL)",UNITED STATES,ALPHAJET,Alpha Jet International
AJX,"AIR JAPAN CO., LTD",JAPAN,AIR JAPAN,Air Japan
AJY,AJWAA AIRLINES,EGYPT,AJWAA AIRLINES,Ajwaa Airlines
AJZ,ANGLO AMERICAN SOUTH AFRICA LIMITED,SOUTH AFRICA,ANGLO JET,Anglo American South Africa Limited
AKA,AIR KOREA CO. LTD.,REPUBLIC OF KOREA,,Air Korea
AKC,"ASIALINK CARGO EXPRESS, PT.",INDONESIA,ASIALINK CARGO,Asialink Cargo Express
AKE,AIR LINK EXECUTIVE SERVICES (ALES),PAKISTAN,,Air Link Executive Services
AKF,AERO ASAHI CORPORATION,JAPAN,,Aero Asahi Corporation
AKG,84 SQN RAF AKROTIRI,UNITED KINGDOM,GRIFTER,No. 84 Squadron RAF
AKH,AKHAL,TURKMENISTAN,AKHAL,Akhal
AKI,"IBK-PETRA, SUDAN",SUDAN,,Ibk-Petra
AKJ,AKASA AIR,INDIA,AKASA AIR,Akasa Air
AKK,SUNDT AIR MANAGEMENT,NORWAY,AKER,Sundt Air
AKL,AIR KIRIBATI LIMITED,KIRIBATI,AIR KIRIBATI,Air Kiribati
AKN,ALKAN AIR LTD.,CANADA,ALKAN AIR,Alkan Air
AKP,ASKARI AIR PAKISTAN,PAKISTAN,ASKARI AIR,Askari Air Pakistan
AKQ,AEROSPACE CONSORTIUM LTD,KENYA,MOONLIGHT,Aerospace Consortium
AKS,AIRWORKS KENYA LIMITED,KENYA,AKEL,Airworks Kenya Limited
AKT,BRADLEY AIR SERVICES LIMITED D/B/A CANADIAN NORTH,CANADA,ARCTIC,Canadian North
AKU,ALKEBULAN AIRLINES,ZAMBIA,ALKEBULAN,Alkebulan Airlines
AKV,AIRVAN KENYA LIMITED,KENYA,FLY SUN WEST,Airvan Kenya
AKW,ANGKOR AIRWAYS,CAMBODIA,ANGKORWAYS,Angkor Airways
AKX,"ANA WINGS CO., LTD",JAPAN,ALFA WING,ANA Wings
AKY,YAK-SERVICE,RUSSIAN FEDERATION,YAK-SERVICE,Yak Service
ALB,AERO ALBATROS,MEXICO,ALBATROS,Aero Albatros
ALC,"SOUTHERN JERSEY AIRWAYS, INC. (ATLANTIC CITY, NJ)",UNITED STATES,ACOM,Southern Jersey Airways
ALD,AIR LEISURE,EGYPT,AIR LEISURE,Air Leisure
ALE,ALLIANCE EXECUTIVE JETS LTD.,MALTA,ALLIANCE MALTA,Alliance Executive Jets
ALF,ALLIED COMMAND EUROPE (MOBILE FORCE),BELGIUM,ACEFORCE,Allied Command Europe
ALG,AVIATION LOGISTIC SERVICES LIMITED COMPANY,RUSSIAN FEDERATION,,Aviation Logistic Services
ALI,AIRLIFT AS,NORWAY,BLUELIFT,Airlift
ALJ,ALVARO GARCIA GONZALEZ DE AGUILAR,SPAIN,,Alvaro Garcia Gonzalez De Aguilar
ALK,SRILANKAN AIRLINES,SRI LANKA,SRILANKAN,SriLankan Airlines
ALL,AIR ARABIA FOR AIR TRANSPORT,LIBYA,ARABIA AVIA,Air Arabia For Air Transport
ALM,ALFA AIR,MOROCCO,,Alfa Air
ALN,ALKAN AIR,EGYPT,ALKAN AVIATION,Alkan Air
ALO,"PENNSYLVANIA COMMUTER AIRLINES, INC. (MIDDLETOWN, PA)",UNITED STATES,ALLEGHENY,Allegheny Commuter Airlines
ALP,"ALLPOINTS JET CO., LTD",CHINA,ALLPOINTS,Allpoints Jet
ALR,ALBORZ AIR,IRAN (ISLAMIC REPUBLIC OF),ALBORZ,Alborz Air
ALS,ALAS DEL SUR,VENEZUELA,ALASDELSUR,Alas Del Sur
ALT,"AEROLINEAS CENTRALES, S.A. DE C.V.",MEXICO,AEROLINEAS CENTRALES,Aerolineas Centrales
